,betaInP,omega,gen,w,dist
0,0.18727240197472905,0.004589791262300302,0,0.002,979703
0,0.3487460371197608,0.013547038201416062,0,0.002,2542896
0,0.43900325304975885,0.059534906732745724,0,0.002,14286223
0,0.21095456061303852,0.01458478428342276,0,0.002,2760465
0,0.7671448798838636,0.046447021954323243,0,0.002,11473798
0,0.4765394350702502,0.053525773954300575,0,0.002,12985813
0,0.9856812645826095,0.020722232752634018,0,0.002,4482220
0,0.20994183338681527,0.06583490660420455,0,0.002,15326370
0,0.7973769775592684,0.02738682130833882,0,0.002,6223382
0,0.18923146769917965,0.04832545337391449,0,0.002,11671485
0,0.39840320480601066,0.03318732150507111,0,0.002,7704071
0,0.48562917755301804,0.08820427724339507,0,0.002,19219571
0,0.7001911893012049,0.013723439031861719,0,0.002,2502891
0,0.6604107783038569,0.05834453002978943,0,0.002,14123039
0,0.24798404564483267,0.04616424461302835,0,0.002,11002085
0,0.9058903637010586,0.02119914962084253,0,0.002,4553857
0,0.21111876467746638,0.014669003184673114,0,0.002,2766838
0,0.5758705176408389,0.022029214052540016,0,0.002,4819073
0,0.8229975415444529,0.004084921203754566,0,0.002,1010241
0,0.3740490682908386,0.04980588988121644,0,0.002,12022986
0,0.5092976168182053,0.062261819071192985,0,0.002,14872424
0,0.09907159831293832,0.0011977060794094996,0,0.002,764996
0,0.8026330980509918,0.05945547805559686,0,0.002,14565191
0,0.6389257205133915,0.048842978913116765,0,0.002,11974224
0,0.6345476770008144,0.05147502522926567,0,0.002,12545837
0,0.005426877520871121,0.04700012575913951,0,0.002,11018427
0,0.4228015919629565,0.0590635187020824,0,0.002,14147102
0,0.30825381763287885,0.03714120583637102,0,0.002,8735826
0,0.05324209112896694,0.08316344346684545,0,0.002,18099690
0,0.9218756797416048,0.09788533202611976,0,0.002,21090384
0,0.368030944899423,0.06980065987966622,0,0.002,16209692
